City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Ust-Maya,RU,60.4167,134.5333,32.52,73,90,1.32,overcast clouds
156,Akwatia,GH,6.0402,-0.8088,74.93,97,19,2.15,few clouds
157,Palmer,US,42.1584,-72.3287,53.2,49,20,6.91,few clouds
158,Sydney,AU,-33.8679,151.2073,69.64,74,88,1.99,overcast clouds
159,Sao Filipe,CV,14.8961,-24.4956,72.55,81,10,3.11,clear sky
160,Avera,US,33.194,-82.5271,69.55,68,0,3.13,clear sky
161,Nenita,PH,12.4917,124.8044,84.67,70,28,7.56,scattered clouds
162,Fortuna,US,40.5982,-124.1573,58.08,76,0,11.5,clear sky
163,College,US,64.8569,-147.8028,51.75,36,75,4.61,broken clouds
164,Richards Bay,ZA,-28.783,32.0377,68.36,93,52,3.91,broken clouds
165,Pombas,CV,17.1503,-25.0201,68.56,84,44,11.83,scattered clouds
166,Bathsheba,BB,13.2167,-59.5167,79.41,69,20,13.8,few clouds
167,Yeppoon,AU,-23.1333,150.7333,78.58,63,30,22.08,scattered clouds
168,Dikson,RU,73.5069,80.5464,-4.34,100,100,5.41,overcast clouds
169,Chuy,UY,-33.6971,-53.4616,53.98,94,100,6.69,moderate rain
170,Henties Bay,NA,-22.116,14.2845,60.94,90,0,6.85,clear sky
171,Foumban,CM,5.7291,10.9001,66.34,91,100,1.01,light rain
172,Ingham,US,42.6,-84.3833,46.02,92,100,9.22,moderate rain
173,Santa Cruz,BO,-17.8,-63.1667,78.26,83,40,11.5,scattered clouds
174,Samandag,TR,36.0842,35.9771,52.32,50,0,9.64,clear sky
175,Douentza,ML,14.9951,-2.9517,83.37,14,100,5.97,overcast clouds
176,Havoysund,NO,70.9963,24.6622,35.83,78,99,18.66,overcast clouds
177,Lisakovsk,KZ,52.5369,62.4936,35.15,45,0,6.46,clear sky
178,Irbil,IQ,36.1926,44.0106,53.42,40,0,2.3,clear sky
179,Lebu,CL,-37.6167,-73.65,54.97,91,100,12.88,overcast clouds
180,Konosha,RU,60.9736,40.257,34.7,99,100,3.76,overcast clouds
181,Kilindoni,TZ,-7.9139,39.6668,80.29,77,30,3.65,light rain
182,Luganville,VU,-15.5333,167.1667,80.91,86,90,9.22,overcast clouds
183,Flinders,AU,-34.5833,150.8552,67.17,85,88,8.99,overcast clouds
184,Arraial Do Cabo,BR,-22.9661,-42.0278,75.83,83,0,7.9,clear sky
185,Verkhnevilyuysk,RU,63.4453,120.3167,26.91,83,100,4.09,overcast clouds
186,Vittorio Veneto,IT,45.9767,12.3033,54.05,91,99,0.72,overcast clouds
187,Rognan,NO,67.0953,15.3878,41.14,89,100,2.28,overcast clouds
188,Rocha,UY,-34.4833,-54.3333,52.56,90,100,7.94,overcast clouds
189,Gubkinskiy,RU,64.434,76.5026,4.8,94,100,13.0,overcast clouds
190,Paamiut,GL,61.994,-49.6678,32.63,97,100,6.06,overcast clouds
191,Juneau,US,58.3019,-134.4197,48.2,81,100,12.66,overcast clouds
